Datei;Zeitpunkt;IQR;IQK;Schiefe;Breite;lBreite;rBreite;;Drift;Index xs;Index xe;Index ys;Index ye
BD10_1407090735_ims.csv;12.4;;;1;3.7;2;1.7;;20.27;0;87;994;1035
BD10_1407090735_ims.csv;53;;;1.75;6.9;2;4.9;;22.55;3;1430;1096;1156
BD10_1407090735_ims.csv;172.4;;;0.66;8;3.4;8;;21.17;83;1460;1038;1080
BD10_1407090735_ims.csv;236.2;;;0.27;13.3;6.1;7.2;;19.4;203;1404;925;1006
BD10_1407090735_ims.csv;333.9;;;1.52;25;9.7;15.3;;25.75;470;1490;1266;1314
BD10_1406260713_ims.csv;10.5;;;;1.9;0.6;1.3;;20.45;0;450;1003;1044
BD10_1406260713_ims.csv;52.9;;;;4.7;1.7;3;;22.76;3;1465;1100;1176
BD10_1406260713_ims.csv;170;;;;12.4;5.1;7.3;;21.31;77;1474;1042;1089
BD10_1406260713_ims.csv;343.5;;;;22.5;10.5;12;;25.94;52;1482;1242;1347
BD01_1104071012_ims.csv;12;;;;2.2;2.1;1;;20.65;3;164;1016;1050
BD01_1104071012_ims.csv;28.9;;;;3.5;2;1.5;;19.85;77;170;988;1018
BD01_1104071012_ims.csv;29;;;-0.1;3.2;2;1.2;;21.3;30;160;1044;1084
BD01_1104071012_ims.csv;50.5;;;;4.6;2;2.3;;22.98;64;261;1122;1180
BD01_1104071012_ims.csv;94;;;1.12;7.6;3;4.6;;20.1;72;420;959;1068
BD01_1104071012_ims.csv;159;;;0.27;9;4.7;4.3;;21.8;209;688;1056;1105
BD01_1104071012_ims.csv;228.7;;;0.88;13.6;6;7.6;;19.76;240;903;960;1016
BD15_1304101102_ims.csv;13;;;;3.9;1.7;2.2;;21.03;20;140;1040;1066
BD15_1304101102_ims.csv;30;;;;3.4;1.5;1.9;;21.66;52;136;1059;1106
BD15_1304101102_ims.csv;31;;;;3.5;2;1.5;;20.22;52;174;978;1035
BD15_1304101102_ims.csv;58;;;;8.1;1.9;6.2;;23.39;19;1464;1145;1198
BD15_1304101102_ims.csv;179;;;;14.3;4.4;9.9;;21.95;317;1466;1076;1121
BD15_1304101102_ims.csv;244;;;;18.3;8.7;9.6;;20.12;455;1484;965;1042
